AF3,AF4,F3,F4,F7,F8,FC5,FC6,O1,O2,P7,P8,T7,T8,Frontal,Temporal,Parietal,Occipital,Fronto-central,Participant,Game,Emotion,satisfaction,boredom,horrible,calm,funny,gender,arousal,valence
17.9424,-0.74707,11.0661,0.19597,17.5299,-4.2711,-1.8313,2.5783,-4.9223,18.2502,-31.2062,20.3416,-10.2125,25.9282,6.9527,7.85785,-5.4323,6.66395,0.3735,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
16.8654,1.1867,0.95735,-2.649,14.5891,-4.9596,-0.77674,-1.3547,-2.738,19.9884,-25.5564,30.5221,-5.8223,22.4835,4.331658333333333,8.3306,2.482849999999999,8.6252,-1.06572,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
13.0199,-6.4403,-0.04434,-4.3794,7.1022,-8.4399,2.1035,-15.3734,2.1485,16.9006,-17.4115,15.4677,-10.1951,17.3566,0.1363600000000001,3.58075,-0.9718999999999998,9.52455,-6.63495,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
9.8776,-5.5822,2.3194,-6.4778,10.9266,-4.6273,4.3384,-9.3236,-6.0079,9.7476,-13.0615,3.6785,-11.9445,28.1215,1.0727166666666663,8.0885,-4.6915,1.86985,-2.4926000000000004,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
13.0637,-9.0243,4.0696,-9.867,10.271,-5.2939,5.9675,-8.7633,-7.5368,-4.9372,-17.9442,-5.0431,-8.3941,21.7121,0.536516666666667,6.659,-11.49365,-6.237,-1.3978999999999997,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
14.6405,-4.2337,1.4639,-4.0807,16.7384,7.7738,-5.2521,-5.8769,-7.5568,0.48592,-23.0069,8.9547,-8.3635,14.2699,5.3837,2.9532,-7.0261000000000005,-3.53544,-5.564500000000001,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
3.8457,0.27125,0.90397,-9.9744,11.4841,9.6689,-6.3534,-2.2185,-6.6312,8.4856,-18.3207,5.1116,-5.5002,14.8301,2.69992,4.664949999999999,-6.60455,0.9272,-4.28595,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
6.9198,-1.1623,3.2104,-8.9038,5.5998,2.9494,3.9442,-5.3912,-1.0382,-0.99662,-9.1936,-9.2951,0.96925,16.3018,1.43555,8.635525,-9.24435,-1.01741,-0.7235000000000003,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
11.6998,5.0469,-7.8438,1.5478,10.459,16.8724,-2.4318,0.12657,-3.3374,-5.1868,-10.0583,-3.1374,-0.50618,18.6295,6.297016666666667,9.06166,-6.597849999999999,-4.2621,-1.152615,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
4.8584,4.2719,-1.2338,-0.90663,4.6363,24.4274,-5.5908,-1.2974,-5.4987,-8.1814,-15.5943,4.1345,-2.8364,11.3723,6.0089283333333325,4.26795,-5.729900000000001,-6.84005,-3.4441,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-0.62782,-1.1791,4.035,-3.2133,8.6086,16.8228,-8.5616,-1.6921,-9.4183,-1.5516,-15.1303,8.136,-11.6389,14.9404,4.074363333333333,1.6507500000000004,-3.4971500000000004,-5.48495,-5.12685,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-0.59015,-1.1084,-0.92928,-1.1311,8.0921,18.6471,-2.3806,-1.5897,-3.1869,9.8752,-0.12246,12.3709,-9.0511,15.9325,3.830045,3.4407,6.12422,3.34415,-1.98515,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-4.8043,-7.1808,-6.0682,-10.0359,-6.4934,10.4451,4.8455,-6.689,-2.5231,-2.5226,0.4248,-2.4714,-8.9806,3.1712,-4.022916666666666,-2.9047000000000005,-1.0233,-2.52285,-0.9217499999999998,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-2.6276,-0.13934,-1.9263,-3.7673,6.5793,16.429,4.5547,4.1008,-8.039,1.4057,-7.1574,8.4707,-8.4418,16.2031,2.4246266666666663,3.8806499999999993,0.6566500000000004,-3.31665,4.32775,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-13.804,-8.6306,1.0225,-12.0418,-5.1487,9.7764,4.2819,-6.5342,-6.6119,1.3218,-14.2833,17.4072,-4.1578,2.0083,-4.804366666666666,-1.07475,1.5619499999999995,-2.6450500000000003,-1.12615,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-12.5032,-5.7517,1.4337,-23.1255,-11.9239,9.6624,7.3303,-5.6696,-3.8542,1.7151,-12.9546,20.6132,1.2863,-2.3627,-7.0347,-0.5381999999999999,3.8293,-1.06955,0.8303500000000001,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-4.6694,1.6771,-9.5138,-23.1544,2.8916,11.4433,7.3626,-2.0236,-5.9835,2.0843,-10.7601,19.8486,-3.9851,11.8791,-3.554266666666667,3.947,4.544250000000001,-1.9496,2.6695,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-5.3339,-10.7019,-7.9992,-17.9877,16.8181,11.7014,7.8656,-8.5142,-5.625,-1.8191,-9.1707,19.6014,-13.1916,12.6505,-2.2505333333333333,-0.27055,5.215350000000001,-3.72205,-0.3243000000000005,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-10.6803,-7.2261,-0.90772,-4.6296,3.1932,22.333,2.6715,2.3861,-7.176,8.6795,-6.731,29.76,-14.2886,1.502,0.3470799999999994,-6.3933,11.514500000000002,0.7517500000000004,2.5288,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-16.6514,-1.1257,2.9251,-6.2407,-5.4989,9.6589,6.2886,4.1319,-4.8574,10.0477,-7.2719,19.4739,-5.8751,-5.1992,-2.822116666666666,-5.5371500000000005,6.101000000000001,2.5951500000000003,5.21025,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-13.7634,-2.9471,2.7491,-12.4774,8.931,8.1355,11.5782,3.8844,-10.2319,9.4453,-4.0024,12.6386,-6.4673,3.6132,-1.5620500000000004,-1.42705,4.3181,-0.3933,7.7313,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-14.3535,-7.0208,-1.6654,-11.2562,21.2126,21.7474,5.6888,7.9009,-11.0348,9.3502,-1.4002,17.075,-8.4403,11.4248,1.4440166666666656,1.4922499999999994,7.8374,-0.8423000000000007,6.79485,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-20.1039,-7.5438,0.32304,-14.3587,5.8398,18.1488,3.4589,-1.0732,0.961,2.1786,-8.872,18.8841,-4.156,6.0172,-2.949126666666666,0.9306,5.00605,1.5698,1.19285,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-23.6202,-2.3686,-2.5295,-9.7197,-6.8554,18.0037,4.1961,0.88016,3.7365,8.6589,-11.1738,24.3622,-1.0734,9.4336,-4.514950000000001,4.1801,6.594200000000001,6.197699999999999,2.53813,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-22.6756,-8.3654,-5.6831,-12.4428,6.3064,12.6739,11.0275,0.35478,6.8177,5.7783,3.5966,8.8005,1.352,5.5614,-5.031099999999998,3.4567,6.19855,6.298,5.69114,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-12.8141,-0.3077,-4.3979,-8.8626,12.5387,7.1904,11.3101,-2.4993,5.4644,6.3759,12.4208,0.17762,3.1603,3.3392,-1.108866666666667,3.24975,6.29921,5.92015,4.4054,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-9.2121,7.2661,-3.1893,2.0582,15.5647,18.0931,9.6868,2.3724,1.3591,16.3823,2.2308,14.267,6.7481,10.6942,5.096783333333334,8.72115,8.248899999999999,8.870700000000001,6.0296,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-16.6877,-4.9752,-1.5811,-10.8149,4.714,7.0907,10.5233,-2.0195,1.7492,10.2047,1.6244,17.7283,5.8716,2.9693,-3.709033333333334,4.42045,9.67635,5.97695,4.251900000000001,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-14.2692,0.51756,-7.6257,-19.1391,3.0138,4.3037,9.4189,8.0181,-0.71639,11.9539,9.5548,16.1916,3.1578,12.7085,-5.533156666666667,7.93315,12.8732,5.618755,8.7185,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-10.5798,-3.2918,-15.6686,-25.5461,0.94407,5.9344,12.6321,4.7038,2.1598,8.4035,8.0377,7.6647,2.9687,10.057,-8.034638333333334,6.51285,7.851199999999999,5.28165,8.66795,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-6.1671,-11.5944,-8.117,-27.7921,11.2769,1.8005,9.0406,-9.6784,6.7524,0.34257,4.7218,-0.35093,-2.8767,-4.6464,-6.765533333333334,-3.76155,2.185435,3.547485,-0.3189000000000002,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-1.075,-5.2314,0.87011,-17.6236,23.8233,6.4146,1.8866,-2.5535,1.6251,1.2672,-3.1173,6.2817,-7.4262,-0.65707,1.196335,-4.041634999999999,1.5821999999999998,1.44615,-0.33345,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-0.53789,-7.2795,3.179,-18.9273,8.2939,-1.0535,6.9681,-7.595,-1.7787,-6.8372,-12.8471,-6.8457,-2.7311,4.5771,-2.7208816666666658,0.9229999999999998,-9.8464,-4.30795,-0.31345,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
1.3829,1.6582,-3.6233,-17.7917,5.3679,2.7876,8.4385,-6.1951,-0.72679,-0.75971,-3.5762,-15.8802,4.0443,-6.087,-1.7030666666666667,-1.02135,-9.7282,-0.74325,1.1216999999999997,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
0.82778,2.0308,-10.4896,-20.0299,19.1458,1.2031,7.4601,-1.5734,-0.21106,-0.242,1.8326,-17.2889,3.3296,-19.8218,-1.21867,-8.2461,-7.728150000000001,-0.22653,2.94335,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
1.7228,-9.4242,-5.1367,-18.8277,20.4255,-7.3687,9.8466,-9.0343,-1.1431,-14.3275,-9.6106,-16.2511,-6.315,-15.3936,-3.1015,-10.8543,-12.93085,-7.7353,0.4061500000000002,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
7.7589,-5.5539,-8.1343,-6.8374,19.6721,-1.7323,3.1164,-11.798,-5.3245,-14.952,-10.4503,-10.0809,-8.2967,-0.36997,0.8621833333333333,-4.333335,-10.2656,-10.13825,-4.3408,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
10.1261,-1.4428,-5.7577,-2.6492,13.7687,-8.2399,-0.84852,-12.0344,-5.0051,-7.4433,-6.0463,-9.4769,-4.9661,-14.4478,0.9675333333333332,-9.70695,-7.7616,-6.2242,-6.44146,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
8.5743,-1.3562,-0.69011,6.9549,27.0426,1.6997,-1.7419,0.96562,-13.2048,4.337,-15.1278,5.1917,-14.1125,-1.7751,7.037531666666666,-7.9438,-4.96805,-4.4339,-0.38814,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
9.0045,-3.1638,-3.4819,13.1487,35.8773,15.6977,0.25161,2.7966,-13.3572,3.132,-15.1648,18.9802,-17.0441,12.4314,11.180416666666666,-2.30635,1.9077,-5.1126000000000005,1.524105,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
7.9926,-1.5571,-4.6898,3.3881,19.6246,14.351,-1.1803,-11.0659,-2.6389,-7.917,-4.3372,8.0596,-12.7152,5.6135,6.518233333333334,-3.55085,1.8612,-5.27795,-6.123099999999999,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
0.42844,7.5085,-8.6584,0.82237,9.8793,17.74,-1.5816,-11.8183,-0.11906,-6.0256,0.17216,0.49148,-9.5917,-6.5292,4.620035,-8.06045,0.33182,-3.07233,-6.69995,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-1.0141,3.7526,-5.7779,3.135,7.8697,14.3145,12.6133,-4.9703,1.3049,-4.2472,-2.1992,5.6567,-4.7657,0.00155,3.7133,-2.382075,1.72875,-1.4711500000000002,3.8215,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-0.95279,-1.1951,-10.1538,2.9465,5.5086,14.3995,5.7844,9.4279,-7.2739,2.6187,-9.6226,19.4173,-12.9802,14.1015,1.7588183333333334,0.5606499999999999,4.89735,-2.3276000000000003,7.606149999999999,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-2.3124,9.7386,-10.0162,1.3528,14.1507,21.5639,6.8542,10.346,1.1909,16.5616,3.7052,32.3523,-5.1173,27.3554,5.7462333333333335,11.11905,18.02875,8.876249999999999,8.6001,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-9.2574,2.0706,-9.8883,-11.4784,13.7738,10.3527,14.4708,-2.0806,10.0916,9.9684,8.6772,16.3111,5.1061,12.6256,-0.7378333333333332,8.86585,12.49415,10.03,6.1951,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-0.20144,1.9468,-11.183,-4.1786,27.0474,15.3993,14.5473,8.4332,0.98565,8.4265,3.4349,7.8445,3.856,9.0349,4.805076666666666,6.44545,5.6397,4.706075,11.49025,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
5.0054,1.3565,-8.1519,-3.4553,32.5755,14.0019,14.1461,2.7325,-7.1019,-0.10839,-3.8553,5.0118,-2.5153,19.3539,6.888683333333333,8.4193,0.5782499999999999,-3.605145,8.4393,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
4.2325,3.6371,-3.4123,0.057336,33.9263,10.8016,10.9363,1.1517,-7.1474,0.37069,-6.9293,13.6846,-1.8918,23.3874,8.207089333333334,10.7478,3.37765,-3.388355,6.044,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-2.1604,3.8915,-3.6792,4.3044,40.8643,12.5146,12.6421,9.111,-7.1903,-2.0117,-9.8189,13.3361,-5.0836,14.9009,9.2892,4.90865,1.7586000000000004,-4.601,10.87655,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
1.7471,-1.0651,-5.3479,4.9904,42.1894,10.8185,16.6048,4.7864,-7.704,-13.2256,-7.3422,-1.564,-2.8901,2.6723,8.888733333333333,-0.1089,-4.4531,-10.4648,10.6956,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
4.0033,-1.4728,-17.7775,4.2193,27.8527,11.5862,4.7474,2.1382,-14.325,-11.0153,-3.5954,-0.12161,-2.2441,-7.4049,4.7352,-4.8245,-1.858505,-12.67015,3.4428,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
4.2357,0.9766,-9.6268,1.605,20.9868,6.6415,10.6024,-2.2406,-1.6601,-4.2154,-1.9629,6.9698,-1.6378,-10.2659,4.136466666666666,-5.95185,2.50345,-2.93775,4.180899999999999,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
3.9816,1.8623,4.173,6.2309,33.8276,7.1873,15.6327,-0.21674,-1.5605,-5.8509,-2.7893,4.6622,-8.151,4.45,9.543783333333332,-1.8505,0.9364500000000002,-3.7057,7.70798,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
1.8537,-1.0827,2.0337,8.6902,33.7542,7.7007,9.0279,3.5737,-9.9674,-10.2225,2.1006,-0.34011,-7.6615,8.0278,8.824966666666667,0.1831499999999994,0.8802449999999999,-10.09495,6.300800000000001,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
0.7978,-3.8518,6.6343,-0.33169,17.629,-1.2618,6.5972,-7.0297,-6.5352,-12.4423,-6.5259,-3.1529,-8.1465,-6.5539,3.2693016666666668,-7.350199999999999,-4.8394,-9.48875,-0.21625,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
0.74993,5.8245,4.3468,-1.2569,30.6708,5.4245,3.3678,-2.8309,-11.8104,-6.0294,-18.4132,0.81417,-12.3808,-17.5621,7.626605,-14.97145,-8.799515,-8.9199,0.2684499999999998,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-0.23932,4.5308,0.30902,3.5415,24.1084,8.8779,7.8887,8.6735,-7.3239,-17.0013,-5.0296,-13.3347,0.64089,-8.9517,6.854716666666666,-4.155405,-9.18215,-12.1626,8.2811,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-2.5865,2.8417,5.4848,10.4127,12.7446,11.651,8.8318,13.3474,6.8108,-20.2313,5.1886,-26.6346,14.2977,-0.38667,6.75805,6.955515,-10.723,-6.71025,11.0896,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-6.2092,0.78265,2.322,9.7879,23.3136,10.951,0.74609,10.658,-1.1537,-5.7952,-2.6785,-12.4202,7.7725,-4.1414,6.824658333333335,1.81555,-7.54935,-3.47445,5.702045,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
3.1364,-7.2922,3.5991,5.8949,29.9427,-0.56672,7.785,-0.84301,-11.0018,-8.7524,-2.9899,-1.7586,-4.4997,-13.8102,5.7856966666666665,-9.15495,-2.37425,-9.8771,3.4709950000000003,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
3.8925,-4.021,7.1619,9.32,33.8134,3.2452,8.2621,6.7634,-14.1187,-13.8945,-7.5327,5.9036,-8.0067,-2.5912,8.902,-5.2989500000000005,-0.8145500000000001,-14.0066,7.51275,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-9.0916,-6.1418,9.0933,7.3431,22.812,3.5221,4.4611,10.608,-10.9114,-13.5334,-16.0533,-6.2569,-0.44306,-1.0198,4.589516666666667,-0.73143,-11.1551,-12.2224,7.53455,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-4.7682,-8.6069,10.4362,3.1246,23.3318,-0.46708,5.1368,2.4149,-10.2567,-7.0541,-14.1459,-8.7151,-3.251,-6.626,3.8417366666666672,-4.9385,-11.4305,-8.6554,3.77585,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-2.5931,-1.4785,4.1432,2.9376,36.0319,4.2835,11.4406,6.0483,-11.5302,1.8696,-8.5745,5.9078,-8.7219,-2.4501,7.220766666666667,-5.586,-1.3333500000000005,-4.8303,8.74445,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-5.7442,1.9151,7.2003,-1.4896,37.2426,5.4429,24.8541,5.2133,3.2616,7.896,4.69,19.3154,3.6063,-0.88667,7.42785,1.359815,12.0027,5.5788,15.0337,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
-2.0929,6.9954,3.4626,-1.8715,33.5926,9.3672,20.5975,5.3726,4.0784,10.7289,3.9374,17.6844,3.863,11.9175,8.242233333333333,7.89025,10.8109,7.40365,12.98505,S28,G1,Boredom,-0.996615895540124,1.5,-0.5,-0.7833494518006403,-0.8609460320922785,M,-2.077596580291638,-2.6442954838929187
